trials = 10, intial chaos = 0.8, agile

1,7773861242897;10;0,1;bernoulli
1,1833700175135;10;0,1;chebyshev
2,1268286232851;10;0,1;circle
2,6709500280054;10;0,1;gauss
1,1177538500965;10;0,1;logistic
1,1282721593336;10;0,1;sine
1,1682519346617;10;0,1;singer
1,2252762445215;10;0,1;sinu
1,4877446175318;10;0,2;bernoulli
0,83742660823998;10;0,2;chebyshev
1,5292910189036;10;0,2;circle
2,4404538845733;10;0,2;gauss
0,92012193834827;10;0,2;logistic
0,92721626524269;10;0,2;sine
0,63539984414834;10;0,2;singer
0,49897606756798;10;0,2;sinu
1,0933300372442;10;0,3;bernoulli
0,64769090227096;10;0,3;chebyshev
0,98928517333814;10;0,3;circle
2,4658292340926;10;0,3;gauss
0,71652042947676;10;0,3;logistic
0,73482424569494;10;0,3;sine
0,4687601786051;10;0,3;singer
0,31791700174768;10;0,3;sinu
0,86748333849827;10;0,4;bernoulli
0,44951837367536;10;0,4;chebyshev
0,79904275418678;10;0,4;circle
2,4648148116754;10;0,4;gauss
0,55388758714437;10;0,4;logistic
0,51273609668623;10;0,4;sine
0,46186874433471;10;0,4;singer
0,47795341463452;10;0,4;sinu
0,88275237256748;10;0,5;bernoulli
0,35251450853316;10;0,5;chebyshev
0,77607011005789;10;0,5;circle
2,3239830751457;10;0,5;gauss
0,49889790001485;10;0,5;logistic
0,39210905462293;10;0,5;sine
0,37374777594704;10;0,5;singer
0,43789931548992;10;0,5;sinu
0,66651751509149;10;0,6;bernoulli
0,41685110336469;10;0,6;chebyshev
0,69238907662326;10;0,6;circle
2,4914773090826;10;0,6;gauss
0,48129866830754;10;0,6;logistic
0,42305300300647;10;0,6;sine
0,36153468078327;10;0,6;singer
0,27762802266229;10;0,6;sinu
0,63264061257183;10;0,7;bernoulli
0,29850176161648;10;0,7;chebyshev
0,6852402812812;10;0,7;circle
2,588252836935;10;0,7;gauss
0,45086145545862;10;0,7;logistic
0,31286281069258;10;0,7;sine
0,36821379300611;10;0,7;singer
0,23894821787562;10;0,7;sinu
0,4715046303245;10;0,8;bernoulli
0,20796924492326;10;0,8;chebyshev
0,46716907023186;10;0,8;circle
2,6000126510077;10;0,8;gauss
0,31600508590998;10;0,8;logistic
0,29233310463035;10;0,8;sine
0,24567016180253;10;0,8;singer
0,21242185268763;10;0,8;sinu
107,28485093426;10;0,9;bernoulli
107,28528067208;10;0,9;chebyshev
107,28482736289;10;0,9;circle
107,28520666493;10;0,9;gauss
107,28562831067;10;0,9;logistic
107,28334241842;10;0,9;sine
107,25485032869;10;0,9;singer
107,2855845056;10;0,9;sinu
0,65260200556676;20;0,1;bernoulli
0,4725387412918;20;0,1;chebyshev
0,76318289955608;20;0,1;circle
1,8432674461567;20;0,1;gauss
0,42713409716954;20;0,1;logistic
0,54114877496628;20;0,1;sine
0,30719761236941;20;0,1;singer
0,4143543504754;20;0,1;sinu
0,41926164999853;20;0,2;bernoulli
0,1790710776718;20;0,2;chebyshev
0,50766002519901;20;0,2;circle
1,8965488868966;20;0,2;gauss
0,239249432952;20;0,2;logistic
0,37370844146204;20;0,2;sine
0,14813936972794;20;0,2;singer
0,18784572008618;20;0,2;sinu
0,22104414862552;20;0,3;bernoulli
0,17232922277795;20;0,3;chebyshev
0,18183941884683;20;0,3;circle
1,9160821046635;20;0,3;gauss
0,21037905625136;20;0,3;logistic
0,17450735712726;20;0,3;sine
0,10776176045538;20;0,3;singer
0,14221727309621;20;0,3;sinu
0,31196086824363;20;0,4;bernoulli
0,17590268983362;20;0,4;chebyshev
0,24145791441944;20;0,4;circle
1,9743183633442;20;0,4;gauss
0,13875668727191;20;0,4;logistic
0,1876100523436;20;0,4;sine
0,15810640965327;20;0,4;singer
0,15015291654761;20;0,4;sinu
0,28392165546643;20;0,5;bernoulli
0,13778816552494;20;0,5;chebyshev
0,23926542169245;20;0,5;circle
1,9138316106109;20;0,5;gauss
0,11568591757969;20;0,5;logistic
0,13369340331859;20;0,5;sine
0,14020771375433;20;0,5;singer
0,11774471374573;20;0,5;sinu
0,34723628855539;20;0,6;bernoulli
0,15160993995154;20;0,6;chebyshev
0,19518934866621;20;0,6;circle
1,8860542200353;20;0,6;gauss
0,1494929483835;20;0,6;logistic
0,11539824511636;20;0,6;sine
0,18270089259639;20;0,6;singer
0,13746620165668;20;0,6;sinu
0,20931355873372;20;0,7;bernoulli
0,13554586744747;20;0,7;chebyshev
0,19797253138495;20;0,7;circle
1,7255959681887;20;0,7;gauss
0,159711158608;20;0,7;logistic
0,12542843262643;20;0,7;sine
0,13633268619394;20;0,7;singer
0,14732854728863;20;0,7;sinu
0,18742720094084;20;0,8;bernoulli
0,14577655797341;20;0,8;chebyshev
0,15593164215911;20;0,8;circle
1,8548855143805;20;0,8;gauss
0,13867342058499;20;0,8;logistic
0,16237218415343;20;0,8;sine
0,16361066543307;20;0,8;singer
0,14169057145296;20;0,8;sinu
0,16407157598905;20;0,9;bernoulli
0,14946053401196;20;0,9;chebyshev
0,11376308496899;20;0,9;circle
1,9689641176773;20;0,9;gauss
0,13892636016528;20;0,9;logistic
0,15612913355945;20;0,9;sine
0,1470134738151;20;0,9;singer
0,14596209384552;20;0,9;sinu
0,38151080593103;30;0,1;bernoulli
0,14992208158544;30;0,1;chebyshev
0,41381165813332;30;0,1;circle
1,6096452440781;30;0,1;gauss
0,19162803841404;30;0,1;logistic
0,24127563010646;30;0,1;sine
0,21090725390706;30;0,1;singer
0,17786989632046;30;0,1;sinu
0,12653613519651;30;0,2;bernoulli
0,093560185818859;30;0,2;chebyshev
0,15865135163671;30;0,2;circle
1,462834686013;30;0,2;gauss
0,11898552730451;30;0,2;logistic
0,11229511725324;30;0,2;sine
0,12169377767876;30;0,2;singer
0,10775012191852;30;0,2;sinu
0,22833938124983;30;0,3;bernoulli
0,10390429135219;30;0,3;chebyshev
0,19973275417575;30;0,3;circle
1,4769502266457;30;0,3;gauss
0,12937212576231;30;0,3;logistic
0,11908221042082;30;0,3;sine
0,10718495718688;30;0,3;singer
0,12865047980369;30;0,3;sinu
0,14517390644379;30;0,4;bernoulli
0,11221545115783;30;0,4;chebyshev
0,11425838787608;30;0,4;circle
1,6946989820466;30;0,4;gauss
0,10004569799483;30;0,4;logistic
0,096865488071428;30;0,4;sine
0,11342005933737;30;0,4;singer
0,11253031450871;30;0,4;sinu
0,14797021801695;30;0,5;bernoulli
0,14694775731692;30;0,5;chebyshev
0,118310555689;30;0,5;circle
1,6419461416353;30;0,5;gauss
0,11769002132231;30;0,5;logistic
0,11813390191903;30;0,5;sine
0,11864973374134;30;0,5;singer
0,12472990684634;30;0,5;sinu
0,10595708892711;30;0,6;bernoulli
0,12190859176553;30;0,6;chebyshev
0,12691289240046;30;0,6;circle
1,568331856663;30;0,6;gauss
0,14097845390698;30;0,6;logistic
0,12217812087061;30;0,6;sine
0,12998557441891;30;0,6;singer
0,1218819841813;30;0,6;sinu
0,12878248799232;30;0,7;bernoulli
0,13714991190652;30;0,7;chebyshev
0,10368205220094;30;0,7;circle
1,6451210152682;30;0,7;gauss
0,11667972809609;30;0,7;logistic
0,12755111270488;30;0,7;sine
0,13529481791759;30;0,7;singer
0,14688994605546;30;0,7;sinu
0,16264969402129;30;0,8;bernoulli
0,14127932524316;30;0,8;chebyshev
0,10901998472823;30;0,8;circle
1,6422313923992;30;0,8;gauss
0,12930727065207;30;0,8;logistic
0,14190960295249;30;0,8;sine
0,14589909882141;30;0,8;singer
0,13918364919767;30;0,8;sinu
0,1220724151934;30;0,9;bernoulli
0,15656471752416;30;0,9;chebyshev
0,10036847926101;30;0,9;circle
1,5619098777514;30;0,9;gauss
0,13185571935354;30;0,9;logistic
0,14383185027839;30;0,9;sine
0,13444253878679;30;0,9;singer
0,13547382882036;30;0,9;sinu
0,20178660590019;40;0,1;bernoulli
0,12017053197324;40;0,1;chebyshev
0,2532035700671;40;0,1;circle
1,4277817967084;40;0,1;gauss
0,18502336739852;40;0,1;logistic
0,11642178414796;40;0,1;sine
0,10232844936824;40;0,1;singer
0,12421453319566;40;0,1;sinu
0,13308045389382;40;0,2;bernoulli
0,091850400479296;40;0,2;chebyshev
0,14105882816505;40;0,2;circle
1,5481719378466;40;0,2;gauss
0,10173230711931;40;0,2;logistic
0,11477794783586;40;0,2;sine
0,087836866231071;40;0,2;singer
0,11878753060668;40;0,2;sinu
0,13797538740273;40;0,3;bernoulli
0,10061092289072;40;0,3;chebyshev
0,097645024540647;40;0,3;circle
1,5428667832326;40;0,3;gauss
0,10160460592966;40;0,3;logistic
0,092704938259108;40;0,3;sine
0,098401001824634;40;0,3;singer
0,10028932953678;40;0,3;sinu
0,10270550942737;40;0,4;bernoulli
0,10750561466752;40;0,4;chebyshev
0,11479930935189;40;0,4;circle
1,5328603777832;40;0,4;gauss
0,11670810316041;40;0,4;logistic
0,097738150778195;40;0,4;sine
0,11997321974606;40;0,4;singer
0,11122998773194;40;0,4;sinu
0,12532455643659;40;0,5;bernoulli
0,10892369940995;40;0,5;chebyshev
