7970;7375,998672;10,1115;16,8615;20,25
7962;7973,50554;5,23;9,48;12,55
7935;7935,8828552942;10,1115;16,8615;18,90636448815
7805;7816,0664858741;10,1115;16,312553445358;17,032553445358
7758;7747,6950380666;10,1115;13,088575507122;20,25
7643;7631,498682329;7,767230388898;11,787230388898;15,737230388898
7532;7544,4311879908;6,3566920282164;7,3866920282164;15,626692028216
7451;7445,6190890115;10,1115;13,004188386381;19,644188386381
7449;7425,0749945604;4,8946912702614;13,984691270261;15,304691270261
7427;7436,5144;5,17;8,41;13,22
7406;7372,8452031377;7,8887682791607;16,8615;19,648768279161
7365;7342,2145617494;4,9102519332064;16,8615;20,25
7350;7354,3254640307;10,1115;15,31759710937;20,25
7303;7287,2937709021;4,9683419323379;8,1783419323379;11,598341932338
7252;7259,48865;6,53;10,88;14,97
7245;6805,2719792068;7,2768948722663;16,8615;20,25
7166;7184,9406076911;10,1115;16,473875368887;19,813875368887
7119;7142,9203980475;10,1115;8,0355015038538;20,25
7111;6796,934976;10,1115;16,8615;20,25
7044;7013,8215;7,42;11,75;14,93
7040;6192,321871;10,1115;16,8615;20,25
7028;6987,7681886913;5,0850808066666;7,1650808066666;12,865080806667
6942;6971,2162437119;3,25;16,8615;14,197669439999
6814;6810,8854426182;10,1115;16,8615;19,737741561391
6809;6835,1258274523;10,1115;16,8615;17,0856335974
6802;6800,0343374325;8,8488074795384;9,3888074795384;13,108807479538
6787;3745,772316;8,3752957655793;16,8615;20,25
6764;6759,5932732747;4,8437896656915;16,053789665691;17,863789665691
6761;6762,3093887027;4,2737235341425;8,0237235341425;13,893723534142
6725;6728,4351730528;6,790547138369;15,680547138369;20,25
6690;6687,5649533682;6,5530737837511;10,953073783751;12,593073783751
6600;6573,8765392783;6,969797006878;13,729797006878;17,639797006878
6474;6438,91728;6,89;12,46;14,62
6433;6433,8910437474;7,0825560717297;10,40255607173;15,12255607173
6416;5269,6967243995;10,099708524383;16,8615;19,129708524383
6412;6378,9065415689;7,732938702825;12,322938702825;15,212938702825
6400;6436,7691659976;8,0536343971471;16,8615;15,373634397147
6360;4444,178899;10,1115;16,8615;20,25
6337;6348,8234573483;7,3187878452562;12,508787845256;14,598787845256
6240;6235,6685593369;7,5776504615311;11,127650461531;14,747650461531
6232;3383,989128;10,1115;16,8615;20,25
6173;6175,1042723447;7,9717887144637;15,041788714464;16,571788714464
6160;6174,12;6,24;9,65;14,25
6117;6088,7515355151;6,4978651277711;7,4378651277711;13,507865127771
6062;5208,370875;10,1115;16,8615;20,25
6051;6059,3169781591;5,2057442116718;6,0457442116718;12,015744211672
6048;6030,7433272383;7,869478288572;13,239478288572;15,949478288572
6035;6002,2742390236;9,0688642158587;7,3788642158587;11,018864215859
6024;6009,4834095623;6,549167745397;16,8615;15,899167745397
6023;6046,5984103416;6,3675650247594;4,875;15,217565024759
5993;7088,832725;3,25;4,875;8,125
5985;5976,9862744933;6,1344187336855;8,3544187336855;10,634418733685
5971;5968,2777176476;4,5940993734282;11,504099373428;12,274099373428
5962;5971,5175143764;9,3505590322663;6,2605590322663;14,270559032266
5944;5937,1013792396;5,0039501766274;6,8939501766274;11,703950176627
5940;5925,3814851216;5,6802660029988;4,875;11,440266002999
5927;5943,6920741528;5,8958385951285;13,155838595129;15,305838595129
5885;5874,2924866223;3,25;4,875;14,408138193976
5882;5861,1761120115;3,25;6,4320435038405;10,76204350384
5880;4746,2809457813;10,1115;16,8615;19,981003539432
5880;5883,7449298267;6,7514611346933;9,3014611346933;12,431461134693
5876;5869,85472;7,26;11,44;12,72
5873;5858,3447319516;3,25;4,9739381360141;18,313938136014
5865;5860,1299641646;3,25;4,875;8,5522154269756
5863;5854,6589801261;6,3238039131993;6,8038039131993;12,773803913199
5856;5863,1518388188;9,4773582443164;4,875;9,3873582443164
5800;5840,8005584165;3,25;4,875;10,028997656409
5791;5800,9587732754;3,25;4,875;9,9829511619466
5782;5783,0014922123;5,6923550427623;4,875;13,712355042762
5778;5795,6081069553;7,4431480585985;12,943148058598;15,523148058598
5775;5785,0246695195;3,25;7,5609877622877;12,470987762288
7970,6222.8923686093,6.8893151108916,16.8615,15.889715110892
7962,7958.7980456749,10.1115,7.6766461199511,13.602718119951
7935,7942.1852583721,5.9598377530341,16.8615,19.13306896906
7805,7812.3530411368,9.123927670201,16.010631670201,17.547911670201
7758,7765.1188822011,5.5330751784949,16.319243178495,18.583467178495
7643,7558.0428171734,6.1262530375425,12.466253037542,14.956253037542
7532,7548.44064,6.49,8.74,13.99
7451,7492.1142104404,3.25,16.267600740379,15.528080740379
7449,7453.6504902876,5.6667790399412,15.179819039941,14.504339039941
7427,7413.0178541776,7.2246538213719,8.2012938213719,12.839629821372
7406,7405.3420493327,7.4032002567896,16.8615,20.117979591036
7365,7347.7285876344,5.2746951509828,16.8615,20.25
7350,7348.232784646,9.8130847910693,16.8615,19.714897824313
7303,7310.3576701778,4.4927064249459,6.0106744249459,12.636418424946
7252,7245.8224476268,7.2494514621945,11.950267462194,13.320019462194
7245,6845.954232,10.1115,16.8615,20.25
===============
7970,7302.0601398548,9.2059232296543,16.8615,20.25
7962,7964.4460288134,6.0950724923588,8.0350724923588,14.215072492359
7935,7827.6972105483,9.308291754936,16.8615,18.618291754936
7805,7790.0065485927,8.273268768598,16.8615,17.173268768598
7758,7748.950632279,3.25,16.8615,18.325556823409
7643,7640.2240830231,3.9774135347397,12.45741353474,15.41741353474
7532,7536.0939856406,9.517948340577,5.267948340577,17.507948340577
7451,7459.4642687039,3.25,16.8615,14.571116245469
7449,7438.8395618669,4.5972024480194,13.137202448019,15.957202448019
7427,7426.8712,5.28,8.83,12.82
7406,7434.2774446322,10.1115,16.8615,18.965442005519
7365,7365.3451205517,6.4390396927787,16.8615,20.25
7350,7352.062702783,10.1115,16.8615,19.590133756911
7303,7275.3060414776,3.25,4.875,13.322184289956
7252,7252.2069,5.69,12.45,12.95
7245,6845.954232,10.1115,16.8615,20.25
7166,7173.633375,3.25,16.8615,20.25
7119,7114.9390529156,10.1115,14.059294198719,16.239294198719
7111,6740.6165593504,9.4182599160207,16.8615,20.118259916021
7044,7077.462,6.83,12.18,14.78
7040,6192.321871,10.1115,16.8615,20.25
7028,7006.7939908597,5.5000689623552,7.5200689623552,12.010068962355
6942,6958.3489788022,3.25,16.8615,14.119591376227
6814,6815.153861597,10.1115,16.8615,19.767034489222
6809,6811.3087213914,7.0541445691996,16.8615,17.4341445692
6802,6804.77504,5.66,9.01,14.4
6787,3709.2637381686,8.4928353920266,16.8615,19.832835392027
6764,6765.9271775173,5.685074097917,15.565074097917,18.145074097917
6761,6763.2495,6.79,8.47,12.7
6725,6740.4621790673,7.5941247298541,16.804124729854,18.644124729854
6690,6691.6381686288,7.7243824478678,9.8443824478678,14.454382447868
6600,6555.1124225598,3.9417895589591,14.061789558959,16.751789558959
6474,6493.9524,5.89,12.45,15
6433,6436.9797910486,8.3710097071114,12.241009707111,13.541009707111
6416,5397.5441077754,9.2706483102407,16.8615,20.25
6412,6405.6509041051,3.2602169902158,12.960216990216,14.460216990216
6400,6424.4452804362,8.32414554537,14.96414554537,18.24414554537
6360,4411.942889706,7.0017171238697,16.8615,20.25
6337,6386.0632253087,7.0089124919516,12.348912491952,14.888912491952
6240,6244.5567054599,7.072051343672,11.112051343672,14.812051343672
6232,3383.989128,10.1115,16.8615,20.25
6173,6170.7533952118,5.9812049838487,13.571204983849,19.051204983849
6160,6160.9377863742,6.7445768646824,7.7845768646824,15.694576864682
6117,6128.2031729455,6.0046326280081,8.4646326280081,12.464632628008
6062,5118.9639931907,10.1115,16.8615,19.432378767176
6051,6054.5333745268,4.8757333681992,4.875,14.125733368199
6048,6059.2499430314,7.7486752389365,13.338675238937,15.998675238937
6035,6073.6598338139,3.4571117531215,8.1671117531215,11.067111753122
6024,6029.92324303,10.1115,16.8615,15.467246653124
6023,6011.9632908022,3.25,8.5129177626655,11.782917762666
5993,7088.832725,3.25,4.875,8.125
5985,5986.5384513112,3.5256020140069,7.7456020140069,11.625602014007
5971,5976.2205,5.78,10.05,13.76
5962,5961.39264,5.94,7.92,13.18
5944,5948.2314224899,4.3515974947631,4.875,13.551597494763
5940,5923.8632931614,7.220206666207,4.875,11.050206666207
5927,5947.1364792576,7.5740735976743,14.084073597674,13.704073597674
5885,5887.816990109,5.6354628058642,6.7254628058642,12.325462805864
5882,5876.4233945908,8.1408123968033,4.875,10.830812396803
5880,4761.5249390598,8.4635583602654,16.8615,20.25
5880,5885.3499548248,8.5450398034579,8.5750398034579,13.405039803458
5876,5876.8968094306,7.788156069358,8.998156069358,14.338156069358
5873,5879.6701622651,6.9512778495212,16.8615,16.601277849521
5865,5850.8167363184,5.8237680351053,4.875,8.1437680351053
5863,5866.3128255528,10.1115,4.875,14.074506120004
5856,5854.618128751,5.1709152870583,4.875,10.120915287058
5800,5807.5130028105,7.926670433109,4.875,9.416670433109
5791,5819.9384702623,3.25,4.875,10.035300282056
5782,5787.06798886,4.0881769499873,5.9781769499873,11.228176949987
5778,5762.6996854369,6.7236080118192,12.943608011819,15.883608011819
5775,5766.788970033,6.1307326008476,6.4107326008476,12.770732600848
